Font Chef Table cmap

cmap subtable 0
platformID	0
encodingID	3
format	4
language	0
0x1CE6	uni1CE6	\#844
0x1CE7	uni1CE7	\#845
0x1CE8	uni1CE8	\#846
0x1CE9	uni1CE9	\#847
0x1CEA	uni1CEA	\#848
0x1CEB	uni1CEB	\#849
0x1CEC	uni1CEC	\#850
0x1CED	uni1CED	\#851
0x1CEE	uni1CEE	\#852
0x1CEF	uni1CEF	\#853
0x1CF0	uni1CF0	\#854
0x1CF1	uni1CF1	\#855
0x1CF2	uni1CF2	\#856
0x1CF3	uni1CF3	\#857
0x1CF4	uni1CF4.UI	\#863
0x1CF5	uni1CF5	\#858
0x1CF6	uni1CF6	\#859
0x1CF8	uni1CF8	\#883
0x1CF9	uni1CF9	\#884
0x200B	uni200B	\#882
0x200C	uni200C	\#129
0x200D	uni200D	\#130
0x2010	uni2010	\#801
0x2013	endash.deva	\#791
0x2014	emdash.deva	\#792
0x2018	quoteleft.deva	\#793
0x2019	quoteright.deva	\#794
0x201C	quotedblleft.deva	\#795
0x201D	quotedblright.deva	\#796
0x2026	ellipsis.deva	\#797
0x20B9	uni20B9.deva	\#802
0x20F0	uni20F0.UI	\#885
0x2212	minus.deva	\#800
0x25CC	uni25CC	\#131
0xA830	uniA830	\#803
0xA831	uniA831	\#804
0xA832	uniA832	\#805
0xA833	uniA833	\#806
0xA834	uniA834	\#807
0xA835	uniA835	\#808
0xA836	uniA836	\#809
0xA837	uniA837	\#810
0xA838	uniA838	\#811
0xA839	uniA839	\#812
0xA8E0	uniA8E0.UI	\#864
0xA8E1	uniA8E1.UI	\#865
0xA8E2	uniA8E2.UI	\#866
0xA8E3	uniA8E3.UI	\#867
0xA8E4	uniA8E4.UI	\#868
0xA8E5	uniA8E5.UI	\#869
0xA8E6	uniA8E6.UI	\#870
0xA8E7	uniA8E7.UI	\#871
0xA8E8	uniA8E8.UI	\#872
0xA8E9	uniA8E9.UI	\#873
0xA8EA	uniA8EA.UI	\#874
0xA8EB	uniA8EB.UI	\#875
0xA8EC	uniA8EC.UI	\#876
0xA8ED	uniA8ED.UI	\#877
0xA8EE	uniA8EE.UI	\#878
0xA8EF	uniA8EF.UI	\#879
0xA8F0	uniA8F0.UI	\#880
0xA8F1	uniA8F1.UI	\#881
0xA8F2	uniA8F2	\#813
0xA8F3	uniA8F3	\#814
